lat,lng,count,time
36.70626,117.06587,5.0,2013-09-12 15:15
36.65691,116.9837,5.0,2013-09-12 15:15
36.66282,117.1146,16.0,2013-09-12 15:15
36.69175,117.10319,5.0,2013-09-12 15:15
36.66577,117.05869,12.0,2013-09-12 15:15
36.64883,116.95564,5.0,2013-09-12 15:15
36.6841,117.02563,7.0,2013-09-12 15:15
36.65388,116.99635,9.0,2013-09-12 15:15
36.6941,116.99579,5.0,2013-09-12 15:15
36.68195,117.05051,5.0,2013-09-12 15:15
36.65866,116.99189,5.0,2013-09-12 15:15
36.65688,117.0321,5.0,2013-09-12 15:15
36.64516,117.06326,5.0,2013-09-12 15:15
36.6903,116.95136,6.0,2013-09-12 15:15
36.65512,117.01345,6.0,2013-09-12 15:15
36.65823,117.00176,5.0,2013-09-12 15:15
36.69553,116.97681,8.0,2013-09-12 15:15
36.66174,116.99456,4.0,2013-09-12 15:15
36.65911,117.00911,6.0,2013-09-12 15:15
36.66372,117.07997,5.0,2013-09-12 15:15
36.6841,116.98685,107.0,2013-09-12 15:30
36.66694,116.88702,10.0,2013-09-12 15:30
36.66933,116.98531,77.0,2013-09-12 15:30
36.66059,116.96957,14.0,2013-09-12 15:30
36.67031,116.88476,6.0,2013-09-12 15:30
36.6842,117.06209,11.0,2013-09-12 15:30
36.65536,117.01274,10.0,2013-09-12 15:30
